pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles
250|250|Ho-Oh|106|130|90|110|154|90|680|113.33|Pressure||Regenerator|Fire|Flying|Hououホウオウ|3|0|0|1250000|Rainbow Pokémon|3.8|199|120
251|251|Celebi|100|100|100|100|100|100|600|100|Natural Cure|||Psychic|Grass|Celebiセレビィ|45|100|100|1059860|Time Travel Pokémon|0.6|5|120
252|252|Treecko|40|45|35|65|55|70|310|51.67|Overgrow||Unburden|Grass||Kimoriキモリ|45|70|50|1059860|Wood Gecko Pokémon|0.5|5|20
253|253|Grovyle|50|65|45|85|65|95|405|67.5|Overgrow||Unburden|Grass||Juptileジュプトル|45|70|50|1059860|Wood Gecko Pokémon|0.9|21.6|20
254|254|Sceptile|70|85|65|105|85|120|530|88.33|Overgrow||Unburden|Grass||Jukainジュカイン|45|70|50|1059860|Forest Pokémon|1.7|52.2|20
254|254M|Sceptile (Mega Sceptile)|70|110|75|145|85|145|630|105|Lightning Rod|||Grass|Dragon|MegaJukainメガジュカイン|45|70|50|1059860|Forest Pokémon|1.9|55.2|20
255|255|Torchic|45|60|40|70|50|45|310|51.67|Blaze||Speed Boost|Fire||Achamoアチャモ|45|70|50|1059860|Chick Pokémon|0.4|2.5|20
256|256|Combusken|60|85|60|85|60|55|405|67.5|Blaze||Speed Boost|Fire|Fighting|Wakasyamoワカシャモ|45|70|50|1059860|Young Fowl Pokémon|0.9|19.5|20
257|257|Blaziken|80|120|70|110|70|80|530|88.33|Blaze||Speed Boost|Fire|Fighting|Bursyamoバシャーモ|45|70|50|1059860|Blaze Pokémon|1.9|52|20
257|257M|Blaziken (Mega Blaziken)|80|160|80|130|80|100|630|105|Speed Boost|||Fire|Fighting|MegaBursyamoメガバシャーモ|45|70|50|1059860|Blaze Pokémon|1.9|52|20
258|258|Mudkip|50|70|50|50|50|40|310|51.67|Torrent||Damp|Water||Mizugorouミズゴロウ|45|70|50|1059860|Mud Fish Pokémon|0.4|7.6|20
259|259|Marshtomp|70|85|70|60|70|50|405|67.5|Torrent||Damp|Water|Ground|Numacrawヌマクロー|45|70|50|1059860|Mud Fish Pokémon|0.7|28|20
260|260|Swampert|100|110|90|85|90|60|535|89.17|Torrent||Damp|Water|Ground|Laglargeラグラージ|45|70|50|1059860|Mud Fish Pokémon|1.5|81.9|20
260|260M|Swampert (Mega Swampert)|100|150|110|95|110|70|635|105.83|Swift Swim|||Water|Ground|MegaLaglargeメガラグラージ|45|70|50|1059860|Mud Fish Pokémon|1.9|102|20
261|261|Poochyena|35|55|35|30|30|35|220|36.67|Run Away|Quick Feet|Rattled|Dark||Pochienaポチエナ|255|70|50|1000000|Bite Pokémon|0.5|13.6|15
262|262|Mightyena|70|90|70|60|60|70|420|70|Intimidate|Quick Feet|Moxie|Dark||Graenaグラエナ|127|70|50|1000000|Bite Pokémon|1|37|15
263|263|Zigzagoon|38|30|41|30|41|60|240|40|Pickup|Gluttony|Quick Feet|Normal||Jiguzagumaジグザグマ|255|70|50|1000000|Tiny Raccoon Pokémon|0.4|17.5|15
263|263G|Zigzagoon (Galarian Zigzagoon)|38|30|41|30|41|60|240|40|Pickup|Gluttony|Quick Feet|Dark|Normal|Jiguzagumaジグザグマ|255|70|50|1000000|Tiny Raccoon Pokémon|0.4|17.5|15
264|264|Linoone|78|70|61|50|61|100|420|70|Pickup|Gluttony|Quick Feet|Normal||Massugumaマッスグマ|90|70|50|1000000|Rushing Pokémon|0.5|32.5|15
264|264G|Linoone (Galarian Linoone)|78|70|61|50|61|100|420|70|Pickup|Gluttony|Quick Feet|Dark|Normal|Massugumaマッスグマ|90|70|50|1000000|Rushing Pokémon|0.5|32.5|15
265|265|Wurmple|45|45|35|20|30|20|195|32.5|Shield Dust||Run Away|Bug||Kemussoケムッソ|255|70|50|1000000|Worm Pokémon|0.3|3.6|15
266|266|Silcoon|50|35|55|25|25|15|205|34.17|Shed Skin|||Bug||Karasalisカラサリス|120|70|50|1000000|Cocoon Pokémon|0.6|10|15
267|267|Beautifly|60|70|50|100|50|65|395|65.83|Swarm||Rivalry|Bug|Flying|Agehuntアゲハント|45|70|50|1000000|Butterfly Pokémon|1|28.4|15
268|268|Cascoon|50|35|55|25|25|15|205|34.17|Shed Skin|||Bug||Mayuldマユルド|120|70|50|1000000|Cocoon Pokémon|0.7|11.5|15
269|269|Dustox|60|50|70|50|90|65|385|64.17|Shield Dust||Compound Eyes|Bug|Poison|Dokucaleドクケイル|45|70|50|1000000|Poison Moth Pokémon|1.2|31.6|15
270|270|Lotad|40|30|30|40|50|30|220|36.67|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Hassbohハスボー|255|70|50|1059860|Water Weed Pokémon|0.5|2.6|15
271|271|Lombre|60|50|50|60|70|50|340|56.67|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Hasubreroハスブレロ|120|70|50|1059860|Jolly Pokémon|1.2|32.5|15
272|272|Ludicolo|80|70|70|90|100|70|480|80|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Runpappaルンパッパ|45|70|50|1059860|Carefree Pokémon|1.5|55|15
273|273|Seedot|40|40|50|30|30|30|220|36.67|Chlorophyll|Early Bird|Pickpocket|Grass||Tanebohタネボー|255|70|50|1059860|Acorn Pokémon|0.5|4|15
274|274|Nuzleaf|70|70|40|60|40|60|340|56.67|Chlorophyll|Early Bird|Pickpocket|Grass|Dark|Konohanaコノハナ|120|70|50|1059860|Wily Pokémon|1|28|15
275|275|Shiftry|90|100|60|90|60|80|480|80|Chlorophyll|Early Bird|Pickpocket|Grass|Dark|Dirtengダーテング|45|70|50|1059860|Wicked Pokémon|1.3|59.6|15
276|276|Taillow|40|55|30|30|30|85|270|45|Guts||Scrappy|Normal|Flying|Subameスバメ|200|70|50|1059860|Tiny Swallow Pokémon|0.3|2.3|15
277|277|Swellow|60|85|60|75|50|125|455|75.83|Guts||Scrappy|Normal|Flying|Ohsubameオオスバメ|45|70|50|1059860|Swallow Pokémon|0.7|19.8|15
278|278|Wingull|40|30|30|55|30|85|270|45|Keen Eye|Hydration|Rain Dish|Water|Flying|Camomeキャモメ|190|70|50|1000000|Seagull Pokémon|0.6|9.5|20
279|279|Pelipper|60|50|100|95|70|65|440|73.33|Keen Eye|Drizzle|Rain Dish|Water|Flying|Pelipperペリッパー|45|70|50|1000000|Water Bird Pokémon|1.2|28|20
280|280|Ralts|28|25|25|45|35|40|198|33|Synchronize|Trace|Telepathy|Psychic|Fairy|Raltsラルトス|235|35|35|1250000|Feeling Pokémon|0.4|6.6|20
281|281|Kirlia|38|35|35|65|55|50|278|46.33|Synchronize|Trace|Telepathy|Psychic|Fairy|Kirliaキルリア|120|35|35|1250000|Emotion Pokémon|0.8|20.2|20
282|282|Gardevoir|68|65|65|125|115|80|518|86.33|Synchronize|Trace|Telepathy|Psychic|Fairy|Sirnightサーナイト|45|35|35|1250000|Embrace Pokémon|1.6|48.4|20
282|282M|Gardevoir (Mega Gardevoir)|68|85|65|165|135|100|618|103|Pixilate|||Psychic|Fairy|MegaSirnightメガサーナイト|45|35|35|1250000|Embrace Pokémon|1.6|48.4|20
283|283|Surskit|40|30|32|50|52|65|269|44.83|Swift Swim||Rain Dish|Bug|Water|Ametamaアメタマ|200|70|50|1000000|Pond Skater Pokémon|0.5|1.7|15
284|284|Masquerain|70|60|62|100|82|80|454|75.67|Intimidate||Unnerve|Bug|Flying|Amemothアメモース|75|70|50|1000000|Eyeball Pokémon|0.8|3.6|15
285|285|Shroomish|60|40|60|40|60|35|295|49.17|Effect Spore|Poison Heal|Quick Feet|Grass||Kinococoキノココ|255|70|50|1640000|Mushroom Pokémon|0.4|4.5|15
286|286|Breloom|60|130|80|60|60|70|460|76.67|Effect Spore|Poison Heal|Technician|Grass|Fighting|Kinogassaキノガッサ|90|70|50|1640000|Mushroom Pokémon|1.2|39.2|15
287|287|Slakoth|60|60|60|35|35|30|280|46.67|Truant|||Normal||Namakeroナマケロ|255|70|50|1250000|Slacker Pokémon|0.8|24|15
288|288|Vigoroth|80|80|80|55|55|90|440|73.33|Vital Spirit|||Normal||Yarukimonoヤルキモノ|120|70|50|1250000|Wild Monkey Pokémon|1.4|46.5|15
289|289|Slaking|150|160|100|95|65|100|670|111.67|Truant|||Normal||Kekkingケッキング|45|70|50|1250000|Lazy Pokémon|2|130.5|15
290|290|Nincada|31|45|90|30|30|40|266|44.33|Compound Eyes||Run Away|Bug|Ground|Tutininツチニン|255|70|50|600000|Trainee Pokémon|0.5|5.5|15
291|291|Ninjask|61|90|45|50|50|160|456|76|Speed Boost||Infiltrator|Bug|Flying|Tekkaninテッカニン|120|70|50|600000|Ninja Pokémon|0.8|12|15
292|292|Shedinja|1|90|45|30|30|40|236|39.33|Wonder Guard|||Bug|Ghost|Nukeninヌケニン|45|70|50|600000|Shed Pokémon|0.8|1.2|15
293|293|Whismur|64|51|23|51|23|28|240|40|Soundproof||Rattled|Normal||Gonyonyoゴニョニョ|190|70|50|1059860|Whisper Pokémon|0.6|16.3|20
294|294|Loudred|84|71|43|71|43|48|360|60|Soundproof||Scrappy|Normal||Dogohmbドゴーム|120|70|50|1059860|Big Voice Pokémon|1|40.5|20
295|295|Exploud|104|91|63|91|73|68|490|81.67|Soundproof||Scrappy|Normal||Bakuongバクオング|45|70|50|1059860|Loud Noise Pokémon|1.5|84|20
296|296|Makuhita|72|60|30|20|30|25|237|39.5|Thick Fat|Guts|Sheer Force|Fighting||Makunoshitaマクノシタ|180|70|50|1640000|Guts Pokémon|1|86.4|20
297|297|Hariyama|144|120|60|40|60|50|474|79|Thick Fat|Guts|Sheer Force|Fighting||Hariteyamaハリテヤマ|200|70|50|1640000|Arm Thrust Pokémon|2.3|253.8|20
298|298|Azurill|50|20|40|20|40|20|190|31.67|Thick Fat|Huge Power|Sap Sipper|Normal|Fairy|Ruririルリリ|150|70|50|800000|Polka Dot Pokémon|0.2|2|10
299|299|Nosepass|30|45|135|45|90|30|375|62.5|Sturdy|Magnet Pull|Sand Force|Rock||Nosepassノズパス|255|70|50|1000000|Compass Pokémon|1|97|20
300|300|Skitty|50|45|45|35|35|50|260|43.33|Cute Charm|Normalize|Wonder Skin|Normal||Enecoエネコ|255|70|50|800000|Kitten Pokémon|0.6|11|15
301|301|Delcatty|70|65|65|55|55|90|400|66.67|Cute Charm|Normalize|Wonder Skin|Normal||Enekororoエネコロロ|60|70|50|800000|Prim Pokémon|1.1|32.6|15
302|302|Sableye|50|75|75|65|65|50|380|63.33|Keen Eye|Stall|Prankster|Dark|Ghost|Yamiramiヤミラミ|45|35|35|1059860|Darkness Pokémon|0.5|11|25
302|302M|Sableye (Mega Sableye)|50|85|125|85|115|20|480|80|Magic Bounce|||Dark|Ghost|MegaYamiramiメガヤミラミ|45|35|35|1059860|Darkness Pokémon|0.5|161|25
303|303|Mawile|50|85|85|55|55|50|380|63.33|Hyper Cutter|Intimidate|Sheer Force|Steel|Fairy|Kucheatクチート|45|70|50|800000|Deceiver Pokémon|0.6|11.5|20
303|303M|Mawile (Mega Mawile)|50|105|125|55|95|50|480|80|Huge Power|||Steel|Fairy|MegaKucheatメガクチート|45|70|50|800000|Deceiver Pokémon|1|23.5|20
304|304|Aron|50|70|100|40|40|30|330|55|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Cokodoraココドラ|180|35|35|1250000|Iron Armor Pokémon|0.4|60|35
305|305|Lairon|60|90|140|50|50|40|430|71.67|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Kodoraコドラ|90|35|35|1250000|Iron Armor Pokémon|0.9|120|35
306|306|Aggron|70|110|180|60|60|50|530|88.33|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Bossgodoraボスゴドラ|45|35|35|1250000|Iron Armor Pokémon|2.1|360|35
306|306M|Aggron (Mega Aggron)|70|140|230|60|80|50|630|105|Filter|||Steel||MegaBossgodoraメガボスゴドラ|45|35|35|1250000|Iron Armor Pokémon|2.2|395|35
307|307|Meditite|30|40|55|40|55|60|280|46.67|Pure Power||Telepathy|Fighting|Psychic|Asananアサナン|180|70|50|1000000|Meditate Pokémon|0.6|11.2|20
308|308|Medicham|60|60|75|60|75|80|410|68.33|Pure Power||Telepathy|Fighting|Psychic|Charemチャーレム|90|70|50|1000000|Meditate Pokémon|1.3|31.5|20
308|308M|Medicham (Mega Medicham)|60|100|85|80|85|100|510|85|Pure Power|||Fighting|Psychic|MegaCharemメガチャーレム|90|70|50|1000000|Meditate Pokémon|1.3|31.5|20
309|309|Electrike|40|45|40|65|40|65|295|49.17|Static|Lightning Rod|Minus|Electric||Rakuraiラクライ|120|70|50|1250000|Lightning Pokémon|0.6|15.2|20
310|310|Manectric|70|75|60|105|60|105|475|79.17|Static|Lightning Rod|Minus|Electric||Livoltライボルト|45|70|50|1250000|Discharge Pokémon|1.5|40.2|20
310|310M|Manectric (Mega Manectric)|70|75|80|135|80|135|575|95.83|Intimidate|||Electric||MegaLivoltメガライボルト|45|70|50|1250000|Discharge Pokémon|1.8|44|20
311|311|Plusle|60|50|40|85|75|95|405|67.5|Plus||Lightning Rod|Electric||Prasleプラスル|200|70|50|1000000|Cheering Pokémon|0.4|4.2|20
312|312|Minun|60|40|50|75|85|95|405|67.5|Minus||Volt Absorb|Electric||Minunマイナン|200|70|50|1000000|Cheering Pokémon|0.4|4.2|20
313|313|Volbeat|65|73|75|47|85|85|430|71.67|Illuminate|Swarm|Prankster|Bug||Barubeatバルビート|150|70|50|600000|Firefly Pokémon|0.7|17.7|15
314|314|Illumise|65|47|75|73|85|85|430|71.67|Oblivious|Tinted Lens|Prankster|Bug||Illumiseイルミーゼ|150|70|50|1640000|Firefly Pokémon|0.6|17.7|15
315|315|Roselia|50|60|45|100|80|65|400|66.67|Natural Cure|Poison Point|Leaf Guard|Grass|Poison|Roseliaロゼリア|150|70|50|1059860|Thorn Pokémon|0.3|2|20
316|316|Gulpin|70|43|53|43|53|40|302|50.33|Liquid Ooze|Sticky Hold|Gluttony|Poison||Gokulinゴクリン|225|70|50|1640000|Stomach Pokémon|0.4|10.3|20
317|317|Swalot|100|73|83|73|83|55|467|77.83|Liquid Ooze|Sticky Hold|Gluttony|Poison||Marunoomマルノーム|75|70|50|1640000|Poison Bag Pokémon|1.7|80|20
318|318|Carvanha|45|90|20|65|20|65|305|50.83|Rough Skin||Speed Boost|Water|Dark|Kibanhaキバニア|225|35|35|1250000|Savage Pokémon|0.8|20.8|20
319|319|Sharpedo|70|120|40|95|40|95|460|76.67|Rough Skin||Speed Boost|Water|Dark|Samehaderサメハダー|60|35|35|1250000|Brutal Pokémon|1.8|88.8|20
319|319M|Sharpedo (Mega Sharpedo)|70|140|70|110|65|105|560|93.33|Strong Jaw|||Water|Dark|MegaSamehaderメガサメハダー|60|35|35|1250000|Brutal Pokémon|2.5|130.3|20
320|320|Wailmer|130|70|35|70|35|60|400|66.67|Water Veil|Oblivious|Pressure|Water||Hoerukoホエルコ|125|70|50|1640000|Ball Whale Pokémon|2|130|40
321|321|Wailord|170|90|45|90|45|60|500|83.33|Water Veil|Oblivious|Pressure|Water||Whalohホエルオー|60|70|50|1640000|Float Whale Pokémon|14.5|398|40
322|322|Numel|60|60|40|65|45|35|305|50.83|Oblivious|Simple|Own Tempo|Fire|Ground|Donmelドンメル|255|70|50|1000000|Numb Pokémon|0.7|24|20
323|323|Camerupt|70|100|70|105|75|40|460|76.67|Magma Armor|Solid Rock|Anger Point|Fire|Ground|Bakuudaバクーダ|150|70|50|1000000|Eruption Pokémon|1.9|220|20
323|323M|Camerupt (Mega Camerupt)|70|120|100|145|105|20|560|93.33|Sheer Force|||Fire|Ground|MegaBakuudaメガバクーダ|150|70|50|1000000|Eruption Pokémon|2.5|320.5|20
324|324|Torkoal|70|85|140|85|70|20|470|78.33|White Smoke|Drought|Shell Armor|Fire||Cotoiseコータス|90|70|50|1000000|Coal Pokémon|0.5|80.4|20
325|325|Spoink|60|25|35|70|80|60|330|55|Thick Fat|Own Tempo|Gluttony|Psychic||Banebooバネブー|255|70|50|800000|Bounce Pokémon|0.7|30.6|20
326|326|Grumpig|80|45|65|90|110|80|470|78.33|Thick Fat|Own Tempo|Gluttony|Psychic||Boopigブーピッグ|60|70|50|800000|Manipulate Pokémon|0.9|71.5|20
327|327|Spinda|60|60|60|60|60|60|360|60|Own Tempo|Tangled Feet|Contrary|Normal||Patcheelパッチール|255|70|50|800000|Spot Panda Pokémon|1.1|5|15
328|328|Trapinch|45|100|45|45|45|10|290|48.33|Hyper Cutter|Arena Trap|Sheer Force|Ground||Nuckrarナックラー|255|70|50|1059860|Ant Pit Pokémon|0.7|15|20
329|329|Vibrava|50|70|50|50|50|70|340|56.67|Levitate|||Ground|Dragon|Vibravaビブラーバ|120|70|50|1059860|Vibration Pokémon|1.1|15.3|20
330|330|Flygon|80|100|80|80|80|100|520|86.67|Levitate|||Ground|Dragon|Flygonフライゴン|45|70|50|1059860|Mystic Pokémon|2|82|20
331|331|Cacnea|50|85|40|85|40|35|335|55.83|Sand Veil||Water Absorb|Grass||Saboneaサボネア|190|35|35|1059860|Cactus Pokémon|0.4|51.3|20
332|332|Cacturne|70|115|60|115|60|55|475|79.17|Sand Veil||Water Absorb|Grass|Dark|Noctusノクタス|60|35|35|1059860|Scarecrow Pokémon|1.3|77.4|20
333|333|Swablu|45|40|60|40|75|50|310|51.67|Natural Cure||Cloud Nine|Normal|Flying|Tylttoチルット|255|70|50|600000|Cotton Bird Pokémon|0.4|1.2|20
334|334|Altaria|75|70|90|70|105|80|490|81.67|Natural Cure||Cloud Nine|Dragon|Flying|Tyltalisチルタリス|45|70|50|600000|Humming Pokémon|1.1|20.6|20
334|334M|Altaria (Mega Altaria)|75|110|110|110|105|80|590|98.33|Pixilate|||Dragon|Fairy|MegaTyltalisメガチルタリス|45|70|50|600000|Humming Pokémon|1.5|20.6|20
335|335|Zangoose|73|115|60|60|60|90|458|76.33|Immunity||Toxic Boost|Normal||Zangooseザングース|90|70|50|600000|Cat Ferret Pokémon|1.3|40.3|20
336|336|Seviper|73|100|60|100|60|65|458|76.33|Shed Skin||Infiltrator|Poison||Habunakeハブネーク|90|70|50|1640000|Fang Snake Pokémon|2.7|52.5|20
337|337|Lunatone|90|55|65|95|85|70|460|76.67|Levitate|||Rock|Psychic|Lunatoneルナトーン|45|70|50|800000|Meteorite Pokémon|1|168|25
338|338|Solrock|90|95|85|55|65|70|460|76.67|Levitate|||Rock|Psychic|Solrockソルロック|45|70|50|800000|Meteorite Pokémon|1.2|154|25
339|339|Barboach|50|48|43|46|41|60|288|48|Oblivious|Anticipation|Hydration|Water|Ground|Dojoachドジョッチ|190|70|50|1000000|Whiskers Pokémon|0.4|1.9|20
340|340|Whiscash|110|78|73|76|71|60|468|78|Oblivious|Anticipation|Hydration|Water|Ground|Namazunナマズン|75|70|50|1000000|Whiskers Pokémon|0.9|23.6|20
341|341|Corphish|43|80|65|50|35|35|308|51.33|Hyper Cutter|Shell Armor|Adaptability|Water||Heiganiヘイガニ|205|70|50|1640000|Ruffian Pokémon|0.6|11.5|15
342|342|Crawdaunt|63|120|85|90|55|55|468|78|Hyper Cutter|Shell Armor|Adaptability|Water|Dark|Shizarigerシザリガー|155|70|50|1640000|Rogue Pokémon|1.1|32.8|15
343|343|Baltoy|40|40|55|40|70|55|300|50|Levitate|||Ground|Psychic|Yajilonヤジロン|255|70|50|1000000|Clay Doll Pokémon|0.5|21.5|20
344|344|Claydol|60|70|105|70|120|75|500|83.33|Levitate|||Ground|Psychic|Nendollネンドール|90|70|50|1000000|Clay Doll Pokémon|1.5|108|20
345|345|Lileep|66|41|77|61|87|23|355|59.17|Suction Cups||Storm Drain|Rock|Grass|Lilylaリリーラ|45|70|50|600000|Sea Lily Pokémon|1|23.8|30
346|346|Cradily|86|81|97|81|107|43|495|82.5|Suction Cups||Storm Drain|Rock|Grass|Yuradleユレイドル|45|70|50|600000|Barnacle Pokémon|1.5|60.4|30
347|347|Anorith|45|95|50|40|50|75|355|59.17|Battle Armor||Swift Swim|Rock|Bug|Anopthアノプス|45|70|50|600000|Old Shrimp Pokémon|0.7|12.5|30
348|348|Armaldo|75|125|100|70|80|45|495|82.5|Battle Armor||Swift Swim|Rock|Bug|Armaldoアーマルド|45|70|50|600000|Plate Pokémon|1.5|68.2|30
349|349|Feebas|20|15|20|10|55|80|200|33.33|Swift Swim|Oblivious|Adaptability|Water||Hinbassヒンバス|255|70|50|600000|Fish Pokémon|0.6|7.4|20
350|350|Milotic|95|60|79|100|125|81|540|90|Marvel Scale|Competitive|Cute Charm|Water||Milokarossミロカロス|60|70|50|600000|Tender Pokémon|6.2|162|20
351|351|Castform|70|70|70|70|70|70|420|70|Forecast|||Normal||Powalenポワルン|45|70|50|1000000|Weather Pokémon|0.3|0.8|25
351|351R|Castform (Rainy Form)|70|70|70|70|70|70|420|70|Forecast|||Water||Powalenポワルン|45|70|50|1000000|Weather Pokémon|0.3|0.8|25
351|351Sn|Castform (Snowy Form)|70|70|70|70|70|70|420|70|Forecast|||Ice||Powalenポワルン|45|70|50|1000000|Weather Pokémon|0.3|0.8|25
351|351Su|Castform (Sunny Form)|70|70|70|70|70|70|420|70|Forecast|||Fire||Powalenポワルン|45|70|50|1000000|Weather Pokémon|0.3|0.8|25
352|352|Kecleon|60|90|70|60|120|40|440|73.33|Color Change||Protean|Normal||Kakureonカクレオン|200|70|50|1059860|Color Swap Pokémon|1|22|20
353|353|Shuppet|44|75|35|63|33|45|295|49.17|Insomnia|Frisk|Cursed Body|Ghost||Kagebouzuカゲボウズ|225|35|35|800000|Puppet Pokémon|0.6|2.3|25
354|354|Banette|64|115|65|83|63|65|455|75.83|Insomnia|Frisk|Cursed Body|Ghost||Juppetaジュペッタ|45|35|35|800000|Marionette Pokémon|1.1|12.5|25
354|354M|Banette (Mega Banette)|64|165|75|93|83|75|555|92.5|Prankster|||Ghost||MegaJuppetaメガジュペッタ|45|35|35|800000|Marionette Pokémon|1.2|13|25
355|355|Duskull|20|40|90|30|90|25|295|49.17|Levitate||Frisk|Ghost||Yomawaruヨマワル|190|35|35|800000|Requiem Pokémon|0.8|15|25
356|356|Dusclops|40|70|130|60|130|25|455|75.83|Pressure||Frisk|Ghost||Samayouruサマヨール|90|35|35|800000|Beckon Pokémon|1.6|30.6|25
357|357|Tropius|99|68|83|72|87|51|460|76.67|Chlorophyll|Solar Power|Harvest|Grass|Flying|Tropiusトロピウス|200|70|50|1250000|Fruit Pokémon|2|100|25
358|358|Chimecho|75|50|80|95|90|65|455|75.83|Levitate|||Psychic||Chireanチリーン|45|70|50|800000|Wind Chime Pokémon|0.6|1|25
359|359|Absol|65|130|60|75|60|75|465|77.5|Pressure|Super Luck|Justified|Dark||Absolアブソル|30|35|35|1059860|Disaster Pokémon|1.2|47|25
359|359M|Absol (Mega Absol)|65|150|60|115|60|115|565|94.17|Magic Bounce|||Dark||MegaAbsolメガアブソル|30|35|35|1059860|Disaster Pokémon|1.2|49|25
360|360|Wynaut|95|23|48|23|48|23|260|43.33|Shadow Tag||Telepathy|Psychic||Sohnanoソーナノ|125|70|50|1000000|Bright Pokémon|0.6|14|20
361|361|Snorunt|50|50|50|50|50|50|300|50|Inner Focus|Ice Body|Moody|Ice||Yukiwarashiユキワラシ|190|70|50|1000000|Snow Hat Pokémon|0.7|16.8|20
362|362|Glalie|80|80|80|80|80|80|480|80|Inner Focus|Ice Body|Moody|Ice||Onigohriオニゴーリ|75|70|50|1000000|Face Pokémon|1.5|256.5|20
362|362M|Glalie (Mega Glalie)|80|120|80|120|80|100|580|96.67|Refrigerate|||Ice||MegaOnigohriメガオニゴーリ|75|70|50|1000000|Face Pokémon|2.1|350.2|20
363|363|Spheal|70|40|50|55|50|25|290|48.33|Thick Fat|Ice Body|Oblivious|Ice|Water|Tamazarashiタマザラシ|255|70|50|1059860|Clap Pokémon|0.8|39.5|20
364|364|Sealeo|90|60|70|75|70|45|410|68.33|Thick Fat|Ice Body|Oblivious|Ice|Water|Todogglerトドグラー|120|70|50|1059860|Ball Roll Pokémon|1.1|87.6|20
365|365|Walrein|110|80|90|95|90|65|530|88.33|Thick Fat|Ice Body|Oblivious|Ice|Water|Todoserugaトドゼルガ|45|70|50|1059860|Ice Break Pokémon|1.4|150.6|20
366|366|Clamperl|35|64|85|74|55|32|345|57.5|Shell Armor||Rattled|Water||Pearluluパールル|255|70|50|600000|Bivalve Pokémon|0.4|52.5|20
367|367|Huntail|55|104|105|94|75|52|485|80.83|Swift Swim||Water Veil|Water||Huntailハンテール|60|70|50|600000|Deep Sea Pokémon|1.7|27|20
368|368|Gorebyss|55|84|105|114|75|52|485|80.83|Swift Swim||Hydration|Water||Sakurabyssサクラビス|60|70|50|600000|South Sea Pokémon|1.8|22.6|20
369|369|Relicanth|100|90|130|45|65|55|485|80.83|Swift Swim|Rock Head|Sturdy|Water|Rock|Glanthジーランス|25|70|50|1250000|Longevity Pokémon|1|23.4|40
370|370|Luvdisc|43|30|55|40|65|97|330|55|Swift Swim||Hydration|Water||Lovecusラブカス|225|70|50|800000|Rendezvous Pokémon|0.6|8.7|20
371|371|Bagon|45|75|60|40|30|50|300|50|Rock Head||Sheer Force|Dragon||Tatsubayタツベイ|45|35|35|1250000|Rock Head Pokémon|0.6|42.1|40
372|372|Shelgon|65|95|100|60|50|50|420|70|Rock Head||Overcoat|Dragon||Komoruuコモルー|45|35|35|1250000|Endurance Pokémon|1.1|110.5|40
373|373|Salamence|95|135|80|110|80|100|600|100|Intimidate||Moxie|Dragon|Flying|Bohmanderボーマンダ|45|35|35|1250000|Dragon Pokémon|1.5|102.6|40
373|373M|Salamence (Mega Salamence)|95|145|130|120|90|120|700|116.67|Aerilate|||Dragon|Flying|MegaBohmanderメガボーマンダ|45|35|35|1250000|Dragon Pokémon|1.8|112.6|40
374|374|Beldum|40|55|80|35|60|30|300|50|Clear Body||Light Metal|Steel|Psychic|Dumbberダンバル|3|35|35|1250000|Iron Ball Pokémon|0.6|95.2|40
375|375|Metang|60|75|100|55|80|50|420|70|Clear Body||Light Metal|Steel|Psychic|Metangメタング|3|35|35|1250000|Iron Claw Pokémon|1.2|202.5|40
376|376|Metagross|80|135|130|95|90|70|600|100|Clear Body||Light Metal|Steel|Psychic|Metagrossメタグロス|3|35|35|1250000|Iron Leg Pokémon|1.6|550|40
376|376M|Metagross (Mega Metagross)|80|145|150|105|110|110|700|116.67|Tough Claws|||Steel|Psychic|MegaMetagrossメガメタグロス|3|35|35|1250000|Iron Leg Pokémon|2.5|942.9|40
377|377|Regirock|80|100|200|50|100|50|580|96.67|Clear Body||Sturdy|Rock||Regirockレジロック|3|35|35|1250000|Rock Peak Pokémon|1.7|230|80
378|378|Regice|80|50|100|100|200|50|580|96.67|Clear Body||Ice Body|Ice||Regiceレジアイス|3|35|35|1250000|Iceberg Pokémon|1.8|175|80
379|379|Registeel|80|75|150|75|150|50|580|96.67|Clear Body||Light Metal|Steel||Registeelレジスチル|3|35|35|1250000|Iron Pokémon|1.9|205|80
380|380|Latias|80|80|90|110|130|110|600|100|Levitate|||Dragon|Psychic|Latiasラティアス|3|90|90|1250000|Eon Pokémon|1.4|40|120
380|380M|Latias (Mega Latias)|80|100|120|140|150|110|700|116.67|Levitate|||Dragon|Psychic|MegaLatiasメガラティアス|3|90|90|1250000|Eon Pokémon|1.8|52|120
381|381|Latios|80|90|80|130|110|110|600|100|Levitate|||Dragon|Psychic|Latiosラティオス|3|90|90|1250000|Eon Pokémon|2|60|120
